Next Page Token = CfDJ8Ih_VxHsLwdJhHStLnSaLO_k8dx9get1WEpU23o_SpcPYaSsICWNM_V227MmBMGPFtLdZnybobBDwJAFOso5Bzo
teamId,teamName,submissionDate,score

15452647,NullSira,2026-06-15 22:20:21.780000,0.92

15426953,vli,2026-06-15 14:17:23.180000,0.90

15592025,YS-L,2026-06-15 19:40:01.730000,0.90

15641463,/make-no-mistakes,2026-06-15 19:41:11.830000,0.90

15418537,Domdolus Tolus,2026-06-15 18:44:17.150000,0.89

15418984,Alehandreus & Yurnero,2026-06-15 22:27:57.720000,0.89

15505157,Solved Bit Manipulation,2026-06-15 20:13:28.160000,0.88

15623246,Researcher 7919,2026-06-15 21:57:22.100000,0.88

15429334,Fate,2026-06-15 18:30:51.183000,0.88

15419091,kansai-kanto-kaggler,2026-06-15 18:51:11.590000,0.88

15420330,Hello World,2026-06-10 18:22:19.253000,0.87

15420570,Team,2026-06-15 16:48:40.423000,0.87

15527623,Haraguchi-T,2026-06-15 23:11:17.930000,0.87

15511266,TaiDoDuc,2026-06-15 03:11:45.630000,0.87

15453954,MAJ0RT0M,2026-06-15 22:02:44.973000,0.87

15428538,toxu,2026-06-03 03:34:36.120000,0.86

15854510,Frank Yang,2026-05-18 14:38:29.023000,0.86

15416656,Y | M | F,2026-06-13 08:21:06.183000,0.86

15899073,Ryuto Yoda,2026-06-15 12:48:34.266000,0.86

15480884,T T,2026-06-14 12:36:05.773000,0.86

15483781,EQV UK,2026-06-15 15:09:47.723000,0.86

15798518,xinyue wang,2026-06-15 15:39:46.943000,0.86

15438078,LX,2026-06-15 22:55:31.900000,0.86

15479953,Lee,2026-06-15 22:11:41.083000,0.86

15416669,Tong Hui Kang,2026-06-15 23:51:13.913000,0.86


